Test,Status
COMPILATION,PASS
LINTING,PASS
Task-2a-1,PASS
Task-2a-2,PASS
Task-2a-3,PASS
Task-2a-4,PASS
Task-2a-5,PASS
Task-2a-6,PASS
Task-2a-7,PASS
Task-2a-8,PASS
Task-2a-9,PASS
Task-2a-10,PASS
Task-2b-1,FAIL
Task-2b-2,FAIL
Task-2b-3,FAIL
Task-2b-4,FAIL
Task-2b-5,FAIL
Task-2b-6,FAIL
Task-2b-7,FAIL
Task-2b-8,FAIL
Task-2b-9,FAIL
Task-2b-10,FAIL
Task-2b-11,FAIL
Task-2b-12,FAIL
Task-2b-13,FAIL
Task-2c-1,FAIL
Task-2c-2,FAIL
Task-2c-3,FAIL
Task-2c-4,FAIL
Task-2c-5,FAIL
Task-2c-6,FAIL
Task-2c-7,FAIL
Task-2d-1,PASS
Task-2d-2,PASS
Task-2d-3,PASS
Task-2d-4,FAIL
Task-2d-5,PASS
Task-2d-6,PASS
Task-2d-7,PASS
Task-2d-8,FAIL
Task-2d-9,FAIL
Task-2d-10,PASS
Task-2d-11,PASS
Task-2d-12,FAIL
Task-2d-13,FAIL
Task-2d-14,FAIL
Task-2d-15,PASS
Task-2e-1,FAIL
Task-2e-2,FAIL
Task-2e-3,FAIL
Task-2e-4,FAIL
Task-2e-5,FAIL
Task-2e-6,FAIL
Task-2e-7,FAIL
Task-2e-8,FAIL
Task-2e-9,FAIL
Task-2e-10,FAIL
Task-2e-11,FAIL
Task-2f-1,PASS
Task-2f-2,PASS
Task-2f-3,PASS
Task-2f-4,PASS
Task-2f-5,PASS
Task-2f-6,PASS
Task-2f-7,PASS
Task-2f-8,PASS
Task-2f-9,PASS
Task-2f-10,PASS
Task-2f-11,PASS
Task-2f-12,PASS
Task-2f-13,FAIL
Task-2f-14,PASS
Task-2f-15,PASS
Task-2f-16,PASS
Task-2f-17,FAIL
Task-2f-18,PASS
